"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-17","71","90","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-18","70","84","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-19","67","79","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-20","65","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-21","66","75","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-22","68","76","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-23","68","74","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-24","66","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-25","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-26","63","70","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-27","63","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-28","62","69","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-29","63","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06-30","65","72","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-01","66","76","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-02","66","78","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-03","65","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-04","66","77","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-05","65","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-06","63","69","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-07","61","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-08","64","74","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-09","67","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-10","63","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-11","62","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-12","62","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-13","62","76","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-14","60","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-15","60","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-16","59","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-17","60","72","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-18","62","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-19","61","70","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-20","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-21","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-22","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-23","61","75","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-24","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-25","61","71","56"
